CountryName,GSMOpName,MCC,MNC,ConnectionName,AccessPointName,Homepage,UserName,Password,PromptPassword,Authentication,ProxySrvrAddr,PortNum,PriNameSrvr,SndNameSrvr
Greece,COSMOTE,202,1,Cosmote internet,3g-internet,,,,0,0,,0,195.167.65.194,0.0.0.0
Greece,COSMOTE,202,1,Cosmote GPRS,wap,http://wap.mycosmos.gr,,,0,0,10.10.10.10,8080,0.0.0.0,0.0.0.0
Greece,COSMOTE,202,1,Cosmote MMS-GPRS,mms,http://195.167.65.220:8002,,,0,0,10.10.10.20,8080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Postpay,202,5,Web Vodafone,internet.vodafone.gr,,,,0,0,213.249.19.49,5080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Postpay,202,5,Vf GPRS Postpaid,wap.vodafone.gr,http://wap.vodafone.gr,user,pass,0,0,213.249.019.049,5080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Postpay,202,5,VF Live! Postpay,wap.vodafone.gr,http://live.vodafone.com,,,0,0,213.249.019.049,5080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Postpay,202,5,Vf live! Streaming,wap.vodafone.gr,,user,pass,0,0,,0,0.0.0.0,0.0.0.0
Greece,Vodafone GR Postpay,202,5,Vf MMS,mms.vodafone.net,http://mms.vodafone.gr,user,pass,0,0,213.249.19.49,5080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Prepay,202,5,Web Vodafone,internet.vodafone.gr,,,,0,0,213.249.19.49,5080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Prepay,202,5,VF GPRS Prepay,wapkarta.vodafone.gr,http://wapplus.vodafone.gr,user,pass,0,0,213.249.019.049,5080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Prepay,202,5,VF Live! Prepay,wapkarta.vodafone.gr,http://live.vodafone.com,,,0,0,213.249.019.049,5080,0.0.0.0,0.0.0.0
Greece,Vodafone GR Prepay,202,5,Vf live! Streaming,wap.vodafone.gr,,user,pass,0,0,,0,0.0.0.0,0.0.0.0
Greece,Vodafone GR Prepay,202,5,Vf MMS,mms.vodafone.net,http://mms.vodafone.gr,user,pass,0,0,213.249.19.49,5080,0.0.0.0,0.0.0.0
Greece,Q-Telecom,202,9,Q-Telecom MMS,q-mms.myq.gr,http://mms.myq.gr,,,0,0,192.168.080.134,8080,0.0.0.0,0.0.0.0
Greece,Q-Telecom,202,9,Q-WAP,q-wap.myq.gr,http://wap.myq.gr,,,0,0,192.168.080.134,8080,0.0.0.0,0.0.0.0
Greece,TIM,202,10,TIM Internet,gint.b-online.gr,http://wapportal.tim.com.gr,,,0,0,192.168.200.010,9201,0.0.0.0,0.0.0.0
Greece,TIM,202,10,TIM GPRS,gwap.b-online.gr,http://wapportal.tim.com.gr,wap,wap,0,0,192.168.200.10,9401,0.0.0.0,0.0.0.0
Greece,TIM,202,10,TIM MMS,mnet.b-online.gr,http://192.168.200.95/servlets/mms,mms,mms,0,0,192.168.200.11,9401,0.0.0.0,0.0.0.0
Netherlands,Vodafone NL,204,4,Vodafone GPRS,live.vodafone.com,http://live.vodafone.com,vodafone,vodafone,0,0,192.168.251.150,8799,0.0.0.0,0.0.0.0
Netherlands,Vodafone NL,204,4,Vodafone Live! Streaming,live.vodafone.com,,vodafone,vodafone,0,0,,0,0.0.0.0,0.0.0.0
Netherlands,Vodafone NL,204,4,Vodafone live!,live.vodafone.com,http://live.vodafone.com,vodafone,vodafone,0,0,192.168.251.150,8799,0.0.0.0,0.0.0.0
Netherlands,Vodafone NL,204,4,Vodafone MMS,live.vodafone.com,http://mmsc.mms.vodafone.nl,vodafone,vodafone,0,0,192.168.251.150,8799,0.0.0.0,0.0.0.0
Netherlands,KPN MOBILE,204,8,KPN Internet,internet,http://www.kpn.com,,,0,0,10.96.1.14,0,0.0.0.0,0.0.0.0
Netherlands,KPN MOBILE,204,8,KPN MMS,portalmmm.nl,http://mp.mobiel.kpn/mmsc,,,0,0,010.010.100.020,5080,0.0.0.0,0.0.0.0
Netherlands,Telfort,204,12,Telfort Spot,multimedia.o2.nl,http://wap.telfort.nl/,,,0,0,193.113.200.195,8080,0.0.0.0,0.0.0.0
Netherlands,Telfort,204,12,Telfort MMS,multimedia,http://mms,,,0,0,193.113.200.195,8080,0.0.0.0,0.0.0.0
Netherlands,Telfort Prepay,204,12,Telfort Spot,multimedia.prepay,http://wap.telfort.nl,,,0,0,193.113.200.195,8080,0.0.0.0,0.0.0.0
Netherlands,Telfort Prepay,204,12,Telfort MMS Prepay,multimedia.prepay,http://mms,,,0,0,193.113.200.195,8080,0.0.0.0,0.0.0.0
Netherlands,T-Mobile NL,204,16,T-Mobile Internet,internet,http://pda.t-mobile.nl/,,,0,0,,0,0.0.0.0,0.0.0.0
Netherlands,T-Mobile NL,204,16,t-zones GPRS,wap,http://www.t-zones.nl,tmobile,tmobile,0,0,10.10.10.10,8080,0.0.0.0,0.0.0.0
Netherlands,T-Mobile NL,204,16,T-Mobile MMS,mms,http://t-mobilemms,tmobilemms,tmobilemms,0,0,10.10.10.11,8080,0.0.0.0,0.0.0.0
Netherlands,Orange,204,20,Orange ISP GPRS,internet,,,,0,0,,0,0.0.0.0,0.0.0.0
Netherlands,Orange,204,20,Orange Netherlands,internet,,,,0,0,,0,0.0.0.0,0.0.0.0
Netherlands,Orange,204,20,Orange World,wap,http://wap.orange.nl/colour,62800000,PASSWORD,0,0,10.250.255.188,5080,0.0.0.0,0.0.0.0
Netherlands,Orange,204,20,Orange MMS,mms,http://mms.orange.nl:8002,,,0,0,10.250.255.183,5080,0.0.0.0,0.0.0.0
Belgium,Proximus,206,1,Internet,internet.proximus.be,,,,0,0,,0,0.0.0.0,0.0.0.0
Belgium,Proximus,206,1,Live! Streaming,wap.proximus.be,,wap,wap,0,0,,0,0.0.0.0,0.0.0.0
Belgium,Proximus,206,1,Live!,wap.proximus.be,http://live.vodafone.com,wap,wap,0,0,10.253.7.3,8080,0.0.0.0,0.0.0.0
Belgium,Proximus,206,1,MMS,event.proximus.be,http://mmsc.proximus.be/mms,mms,mms,0,0,10.55.14.75,8080,0.0.0.0,0.0.0.0
